area,year,quarter,count
Samut Prakan,2020,q1,124
Samut Prakan,2020,q2,46
Samut Prakan,2020,q3,206
Samut Prakan,2020,q4,119
Samut Sakhon,2019,q1,330
Samut Sakhon,2019,q2,104
Samut Sakhon,2019,q3,240
Samut Sakhon,2019,q4,243
Samut Sakhon,2020,q1,101
Samut Sakhon,2020,q2,56
Samut Sakhon,2020,q3,122
Samut Sakhon,2020,q4,57
Samut Songkhram,2019,q1,12
Samut Songkhram,2019,q2,5
Samut Songkhram,2019,q3,80
Samut Songkhram,2019,q4,99
Samut Songkhram,2020,q1,24
Samut Songkhram,2020,q2,12
Samut Songkhram,2020,q3,15
Samut Songkhram,2020,q4,12
Saraburi,2019,q1,70
Saraburi,2019,q2,50
Saraburi,2019,q3,265
Saraburi,2019,q4,134
Saraburi,2020,q1,22
Saraburi,2020,q2,66
Saraburi,2020,q3,160
Saraburi,2020,q4,43
Satun,2019,q1,15
Satun,2019,q2,22
Satun,2019,q3,42
Satun,2019,q4,5
Satun,2020,q1,3
Satun,2020,q2,10
Satun,2020,q3,13
Satun,2020,q4,1
Si Sa Ket,2019,q1,167
Si Sa Ket,2019,q2,657
Si Sa Ket,2019,q3,897
Si Sa Ket,2019,q4,253
Si Sa Ket,2020,q1,77
Si Sa Ket,2020,q2,201
Si Sa Ket,2020,q3,435
Si Sa Ket,2020,q4,77
Sing Buri,2019,q1,39
Sing Buri,2019,q2,49
Sing Buri,2019,q3,47
Sing Buri,2019,q4,12
Sing Buri,2020,q1,29
Sing Buri,2020,q2,43
Sing Buri,2020,q3,183
Sing Buri,2020,q4,2
Songkhla,2019,q1,240
Songkhla,2019,q2,366
Songkhla,2019,q3,625
Songkhla,2019,q4,460
Songkhla,2020,q1,148
Songkhla,2020,q2,171
Songkhla,2020,q3,225
Songkhla,2020,q4,84
Sukhothai,2019,q1,97
Sukhothai,2019,q2,79
Sukhothai,2019,q3,203
Sukhothai,2019,q4,56
Sukhothai,2020,q1,23
Sukhothai,2020,q2,75
Sukhothai,2020,q3,382
Sukhothai,2020,q4,75
Suphan Buri,2019,q1,74
Suphan Buri,2019,q2,32
Suphan Buri,2019,q3,81
Suphan Buri,2019,q4,121
Suphan Buri,2020,q1,58
Suphan Buri,2020,q2,44
Suphan Buri,2020,q3,152
Suphan Buri,2020,q4,134
Surat Thani,2019,q1,114
Surat Thani,2019,q2,76
Surat Thani,2019,q3,184
Surat Thani,2019,q4,112
Surat Thani,2020,q1,73
Surat Thani,2020,q2,104
Surat Thani,2020,q3,144
Surat Thani,2020,q4,28
Surin,2019,q1,204
Surin,2019,q2,705
Surin,2019,q3,1357
Surin,2019,q4,390
Surin,2020,q1,109
Surin,2020,q2,296
Surin,2020,q3,1220
Surin,2020,q4,182
Tak,2019,q1,56
Tak,2019,q2,225
Tak,2019,q3,523
Tak,2019,q4,132
Tak,2020,q1,37
Tak,2020,q2,102
Tak,2020,q3,296
Tak,2020,q4,80
Trang,2019,q1,42
Trang,2019,q2,88
Trang,2019,q3,134
Trang,2019,q4,26
Trang,2020,q1,16
Trang,2020,q2,35
Trang,2020,q3,56
Trang,2020,q4,13
Trat,2019,q1,69
Trat,2019,q2,282
Trat,2019,q3,109
Trat,2019,q4,35
Trat,2020,q1,29
Trat,2020,q2,35
Trat,2020,q3,87
Trat,2020,q4,11
Ubon Ratchathani,2019,q1,393
Ubon Ratchathani,2019,q2,2749
Ubon Ratchathani,2019,q3,2562
Ubon Ratchathani,2019,q4,369
Ubon Ratchathani,2020,q1,259
Ubon Ratchathani,2020,q2,772
Ubon Ratchathani,2020,q3,918
Ubon Ratchathani,2020,q4,109
Udon Thani,2019,q1,156
Udon Thani,2019,q2,404
Udon Thani,2019,q3,554
Udon Thani,2019,q4,53
Udon Thani,2020,q1,34
Udon Thani,2020,q2,70
Udon Thani,2020,q3,529
Udon Thani,2020,q4,24
Uthai Thani,2019,q1,50
Uthai Thani,2019,q2,67
Uthai Thani,2019,q3,177
Uthai Thani,2019,q4,81
Uthai Thani,2020,q1,31
Uthai Thani,2020,q2,18
Uthai Thani,2020,q3,115
Uthai Thani,2020,q4,24
